1.0000,2.8000,0.8000,3.0000,1.6000,1.2000,2.8000,1.8000,2.4000,3.4000
1.6000,3.0000,2.4000,3.4000,3.2000,0.6000,2.6000,1.2000,2.6000,3.2000
3.2000,3.4000,2.4000,0.8000,0.8000,3.0000,3.2000,1.6000,0.8000,2.2000
3.2000,1.2000,3.4000,2.0000,2.4000,2.2000,1.0000,3.0000,1.8000,1.6000
2.2000,2.6000,2.2000,1.0000,1.6000,2.0000,1.0000,3.6000,1.8000,1.2000
1.0000,2.2000,1.0000,1.8000,2.4000,2.6000,1.6000,1.2000,3.6000,1.0000
2.4000,1.4000,3.6000,2.4000,2.8000,3.8000,3.2000,3.2000,1.8000,2.0000
0.6000,1.2000,2.2000,2.2000,1.2000,2.0000,2.0000,1.2000,1.8000,3.2000
2.6000,1.6000,1.4000,1.2000,2.0000,1.6000,3.2000,2.8000,2.0000,2.8000
2.8000,1.4000,2.0000,1.4000,1.6000,2.4000,2.6000,0.4000,1.8000,1.6000
