0.1151,0.0564,0.0564,0.3280,0.0564,0.0564,0.0564,0.0564,0.1151,0.1151
0.0053,0.0564,0.0564,0.0564,0.0564,0.0564,0.1151,0.0564,0.1151,0.5731
0.0053,0.0564,0.5152,0.0564,0.0564,0.0564,0.0564,0.1151,0.0564,0.5731
0.0053,0.0053,0.0564,0.0546,0.1151,0.0546,0.1151,0.5731,0.0053,0.5731
0.5152,0.5152,0.0564,0.0564,0.0546,0.5152,0.5152,0.0564,0.3852,0.3852
0.2427,0.2427,0.0564,0.0564,0.0546,0.0546,0.0564,0.3852,0.0053,0.0053
0.0053,0.2427,0.2427,0.0564,0.0546,0.0564,0.0564,0.0564,0.3852,0.0564
0.0053,0.2427,0.0546,0.0564,0.0564,0.0564,0.0564,0.0564,0.0053,0.0053
0.1151,0.0564,0.0546,0.0564,0.3280,0.3280,0.0564,0.0053,0.0564,0.0564
0.1151,0.0564,0.3280,0.0564,0.3280,0.0564,0.0564,0.0564,0.1151,0.1151
